Store_ID,State,Fast_Food_Chain,Product,Ingredients,Onion_Type,Symptoms_Reported,Supply_Date,Affected,Risk_Prediction
Store_1,6,2,5,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""1 slice""}, {""ingredient"": ""Pickles"", ""quantity"": ""3 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",0,0,2024-09-22,0,0
Store_2,2,3,3,"[{""ingredient"": ""Ground Beef"", ""quantity"": ""2 oz""}, {""ingredient"": ""Tostada Shell"", ""quantity"": ""1 shell""}, {""ingredient"": ""Tortilla"", ""quantity"": ""1 large""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Cheese"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Sour Cream"", ""quantity"": ""0.5 oz""}]",1,0,2024-10-22,0,0
Store_3,8,0,6,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""2 slices""}, {""ingredient"": ""Pickles"", ""quantity"": ""4 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",1,0,2024-10-29,0,0
Store_4,8,2,5,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""1 slice""}, {""ingredient"": ""Pickles"", ""quantity"": ""3 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",1,1,2024-10-27,1,1
Store_5,10,1,4,"[{""ingredient"": ""Chicken Breast"", ""quantity"": ""1 piece""}, {""ingredient"": ""Bread Crumbs"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Seasoning"", ""quantity"": ""0.2 oz""}, {""ingredient"": ""Oil"", ""quantity"": ""0.5 oz""}]",0,0,2024-10-21,0,0
Store_6,4,2,5,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""1 slice""}, {""ingredient"": ""Pickles"", ""quantity"": ""3 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",0,0,2024-09-23,0,0
Store_7,11,0,6,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""2 slices""}, {""ingredient"": ""Pickles"", ""quantity"": ""4 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",1,0,2024-09-05,0,0
Store_8,5,2,5,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""1 slice""}, {""ingredient"": ""Pickles"", ""quantity"": ""3 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",0,1,2024-09-10,0,0
Store_9,13,1,4,"[{""ingredient"": ""Chicken Breast"", ""quantity"": ""1 piece""}, {""ingredient"": ""Bread Crumbs"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Seasoning"", ""quantity"": ""0.2 oz""}, {""ingredient"": ""Oil"", ""quantity"": ""0.5 oz""}]",1,0,2024-09-18,0,0
Store_10,13,1,7,"[{""ingredient"": ""Chicken Fillet"", ""quantity"": ""1 fillet""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",0,0,2024-10-24,0,0
Store_11,4,2,5,"[{""ingredient"": ""Beef Patty"", ""quantity"": ""4 oz""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""1 slice""}, {""ingredient"": ""Pickles"", ""quantity"": ""3 slices""}, {""ingredient"": ""Onions"", ""quantity"": ""0.25 oz""}, {""ingredient"": ""Ketchup"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",1,0,2024-09-02,0,0
Store_12,0,1,7,"[{""ingredient"": ""Chicken Fillet"", ""quantity"": ""1 fillet""}, {""ingredient"": ""Sesame Seed Bun"", ""quantity"": ""1 bun""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Mayonnaise"", ""quantity"": ""0.5 oz""}]",1,1,2024-09-22,0,0
Store_13,8,3,3,"[{""ingredient"": ""Ground Beef"", ""quantity"": ""2 oz""}, {""ingredient"": ""Tostada Shell"", ""quantity"": ""1 shell""}, {""ingredient"": ""Tortilla"", ""quantity"": ""1 large""}, {""ingredient"": ""Lettuce"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Tomato"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Cheese"", ""quantity"": ""0.5 oz""}, {""ingredient"": ""Sour Cream"", ""quantity"": ""0.5 oz""}]",1,0,2024-09-25,0,0
